Unnamed: 0,PR URL,PR Title,SO Title,Keyword Score,Author Match,StackOverflow Title,SO link,SO Creation Date,SO Last Activity Date
14,https://github.com/home-assistant/core/pull/69996,Add label support,How can I add metrics label to alert label,0.5029292651136352,False,How can I add metrics label to alert label,https://stackoverflow.com/questions/75845624/how-can-i-add-metrics-label-to-alert-label,2023-03-26 02:50:09,2023-03-26 08:36:13
19,https://github.com/home-assistant/core/pull/69996,Add label support,Add sensitivity label,0.5031026124151314,False,Add sensitivity label,https://stackoverflow.com/questions/74712674/add-sensitivity-label,2022-12-07 06:41:00,2024-03-04 13:34:52
74,https://github.com/home-assistant/core/pull/69996,Add label support,How to add icon in label or label text in flutter textformfield,0.4189067161570913,False,How to add icon in label or label text in flutter textformfield,https://stackoverflow.com/questions/75468500/how-to-add-icon-in-label-or-label-text-in-flutter-textformfield,2023-02-16 06:17:11,2023-02-16 09:56:25
