PR Number,Title,Created At,Updated At,State,Files Changed,Total Comments,Decision Time,URL,Type of Change,LOC Changed,Closed Date,url,users,author
93580,Add Trello integration,2023-05-26 04:46:27+00:00,2024-09-28 12:03:33+00:00,closed,22,108,490,https://github.com/home-assistant/core/pull/93580,New integration (thank you!),782,2024-09-27T11:53:37Z,https://github.com/home-assistant/core/pull/93580,"['ScottG489', 'joostlek', 'emontnemery', 'frenck']",ScottG489
76190,Add Aqara,2022-08-04 06:43:45+00:00,2023-08-17 09:01:58+00:00,closed,31,0,377,https://github.com/home-assistant/core/pull/76190,New integration (thank you!),23132,2023-08-16T08:05:32Z,https://github.com/home-assistant/core/pull/76190,"['frenck', 'liweifeng2022', 'dmulcahey', 'Daniel-dev22']",liweifeng2022
68992,Add Azure data explorer,2022-03-31 15:48:05+00:00,2024-05-24 09:01:43+00:00,merged,16,214,783,https://github.com/home-assistant/core/pull/68992,New integration (thank you!),1030,2024-05-23T07:14:09Z,https://github.com/home-assistant/core/pull/68992,"['iMicknl', 'kaareseras', 'MartinHjelmare', 'kustonaut', 'edenhaus', 'eavanvalkenburg']",kaareseras
46662,Add new Binance integration,2021-02-16 21:13:56+00:00,2021-12-22 19:01:42+00:00,closed,18,8,307,https://github.com/home-assistant/core/pull/46662,New integration (thank you!),1230,2021-12-21T18:05:20Z,https://github.com/home-assistant/core/pull/46662,"['cyberjunky', 'DevSecNinja', 'fabaff', 'ludeeus']",DevSecNinja
45274,Add Barry,2021-01-17 19:26:29+00:00,2022-07-01 05:13:26+00:00,closed,14,71,528,https://github.com/home-assistant/core/pull/45274,New integration (thank you!),374,2022-06-30T04:32:05Z,https://github.com/home-assistant/core/pull/45274,"['hmmbob', 'ThomasBLarsen', 'mortenmoulder', 'frenck', 'YashYKhatri', 'iMicknl', 'allenporter', 'timmo001']",YashYKhatri
